
id	gender	age	block_id	trial_number	bandit_position	 bandit_id	payoff	rt	block_score	total_score_overall	timestamp	ms
24	male	23	1	0	0	0	1	5.284000	1	1	2016-Mai19-13.08.15	492000	
24	male	23	1	1	0	0	0	1.847000	1	1	2016-Mai19-13.08.17	979000	
24	male	23	1	2	1	1	1	0.617000	2	2	2016-Mai19-13.08.19	244000	
24	male	23	1	3	2	2	1	0.536000	3	3	2016-Mai19-13.08.20	431000	
24	male	23	1	4	2	2	1	0.044000	4	4	2016-Mai19-13.08.21	131000	
24	male	23	1	5	2	2	0	0.136000	4	4	2016-Mai19-13.08.21	922000	
24	male	23	1	6	2	2	0	0.154000	4	4	2016-Mai19-13.08.22	729000	
24	male	23	1	7	2	2	0	0.011000	4	4	2016-Mai19-13.08.23	395000	
24	male	23	1	8	3	3	1	0.161000	5	5	2016-Mai19-13.08.24	213000	
24	male	23	1	9	3	3	0	0.054000	5	5	2016-Mai19-13.08.24	929000	
24	male	23	1	10	3	3	0	0.059000	5	5	2016-Mai19-13.08.25	650000	
24	male	23	1	11	7	7	0	0.074000	5	5	2016-Mai19-13.08.26	388000	
24	male	23	1	12	7	7	0	0.127000	5	5	2016-Mai19-13.08.27	183000	
24	male	23	1	13	6	6	0	0.076000	5	5	2016-Mai19-13.08.27	932000	
24	male	23	1	14	5	5	0	0.694000	5	5	2016-Mai19-13.08.29	305000	
24	male	23	1	15	4	4	0	0.401000	5	5	2016-Mai19-13.08.30	392000	
24	male	23	1	16	0	0	0	0.291000	5	5	2016-Mai19-13.08.31	367000	
24	male	23	1	17	1	1	0	0.203000	5	5	2016-Mai19-13.08.32	257000	
24	male	23	1	18	2	2	0	0.282000	5	5	2016-Mai19-13.08.33	224000	
24	male	23	1	19	3	3	0	0.299000	5	5	2016-Mai19-13.08.34	206000	
24	male	23	1	20	3	3	0	0.149000	5	5	2016-Mai19-13.08.35	36000	
24	male	23	1	21	3	3	0	0.463000	5	5	2016-Mai19-13.08.36	182000	
24	male	23	1	22	7	7	0	0.516000	5	5	2016-Mai19-13.08.37	384000	
24	male	23	1	23	6	6	0	0.539000	5	5	2016-Mai19-13.08.38	608000	
24	male	23	1	24	6	6	0	0.099000	5	5	2016-Mai19-13.08.39	392000	
24	male	23	1	25	5	5	0	0.067000	5	5	2016-Mai19-13.08.40	145000	
